Word	Count	Emotions
forbid	37	negative, sadness
sow	37	
tribute	37	positive
barley	37	
diligently	37	
palm	37	
sinai	37	
therewith	37	
branch	37	
lamps	37	
chains	37	
corner	37	
assembled	37	
despise	37	anger, disgust, negative
ministered	37	
sihon	37	
divers	37	
valour	37	
gibeon	37	
tyre	37	
building	37	positive
receiveth	37	
letter	37	anticipation
saviour	37	
inner	37	
ahaziah	37	
jehoiakim	37	
authority	37	positive, trust
worketh	37	
crucified	37	
churches	37	
fish	36	
twentieth	36	
tongues	36	
seest	36	
afflict	36	fear, negative, sadness
fourscore	36	
street	36	
comforted	36	
nought	36	
circumcision	36	positive
notwithstanding	36	
horn	36	
adversaries	36	
broad	36	
beat	36	
shout	36	anger, surprise
caleb	36	
testimonies	36	
rebellious	36	
sealed	36	
ai	36	
jezreel	36	
ramah	36	
purpose	36	
tears	36	
fornication	36	negative
philip	36	
fruitful	35	positive
goat	35	
perceived	35	
sell	35	
waited	35	
statute	35	
overlaid	35	
anoint	35	
sabbaths	35	
means	35	
oblation	35	
use	35	
ordained	35	positive, trust
wounded	35	
silence	35	
eli	35	
course	35	
epistle	35	
likeness	34	
gavest	34	
respect	34	anticipation, joy, positive, trust
rebelled	34	
lad	34	
beersheba	34	
virgin	34	positive, trust
leah	34	
hired	34	
deceived	34	anger, negative
messenger	34	trust
residue	34	
carcase	34	
ninth	34	
astonished	34	
jealousy	34	anger, disgust, fear, negative, sadness
hamath	34	
enquired	34	
transgressed	34	
array	34	positive
letters	34	
hilkiah	34	
asaph	34	
excellent	34	joy, positive, trust
deceit	34	anger, disgust, fear, negative, sadness, surprise
patience	34	anticipation, positive, trust
formed	33	
henceforth	33	
corrupt	33	negative
drunken	33	disgust, negative
journeyed	33	
sojourn	33	
herds	33	
separated	33	
fountain	33	
ceased	33	
stay	33	
deeds	33	
cunning	33	negative, positive
goodly	33	positive
add	33	
whereas	33	
distress	33	anger, disgust, fear, negative, sadness, surprise
refused	33	negative, sadness
bodies	33	
shiloh	33	
flame	33	
hardened	33	anger, disgust, fear, negative
girded	33	
encamped	33	
wheels	33	
lost	33	negative, sadness
sacrificed	33	
withal	33	
cleanse	33	positive
